Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,22,TOT,NBA,C,49,0,945,144,390,.369,0,0,0,144,390,.369,.369,70,113,.619,0,0,409,37,0,0,0,115,358
1968-69,22,CIN,NBA,0,20,0,108,18,43,.419,0,0,0,18,43,.419,.419,2,7,.286,0,0,31,4,0,0,0,17,38
1968-69,22,MIL,NBA,C,29,0,837,126,347,.363,0,0,0,126,347,.363,.363,68,106,.642,0,0,378,33,0,0,0,98,320
1969-70,23,MIL,NBA,PF,80,0,1637,237,546,.434,0,0,0,237,546,.434,.434,119,185,.643,0,0,603,62,0,0,0,167,593
1970-71,24,SEA,NBA,C,61,0,1276,263,597,.441,0,0,0,263,597,.441,.441,139,188,.739,0,0,468,42,0,0,0,118,665
1971-72,25,SEA,NBA,C,58,0,1780,322,751,.429,0,0,0,322,751,.429,.429,154,214,.720,0,0,654,124,0,0,0,178,798
1972-73,26,HOU,NBA,C,48,0,900,149,375,.397,0,0,0,149,375,.397,.397,119,162,.735,0,0,304,53,0,0,0,108,417
1973-74,27,HOU,NBA,C,79,0,2459,336,732,.459,0,0,0,336,732,.459,.459,193,240,.804,259,664,923,166,80,104,0,227,865
1974-75,28,HOU,NBA,C,65,0,1450,235,538,.437,0,0,0,235,538,.437,.437,159,203,.783,154,334,488,84,37,74,0,128,629
1975-76,29,SEA,NBA,C,27,0,223,35,75,.467,0,0,0,35,75,.467,.467,16,29,.552,30,46,76,16,8,15,0,29,86
1976-77,30,BUF,NBA,C,22,0,195,25,74,.338,0,0,0,25,74,.338,.338,33,43,.767,41,49,90,7,3,9,0,21,83
1977-78,31,TOT,NBA,PF-C,16,0,158,23,60,.383,0,0,0,23,60,.383,.383,17,23,.739,19,31,50,10,3,3,14,29,63
1977-78,31,BOS,NBA,C,2,0,24,3,13,.231,0,0,0,3,13,.231,.231,2,3,.667,6,9,15,3,1,1,3,4,8
1977-78,31,HOU,NBA,PF,14,0,134,20,47,.426,0,0,0,20,47,.426,.426,15,20,.750,13,22,35,7,2,2,11,25,55
