Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980-81,23,CLE,NBA,C,81,0,2460,337,670,.503,0,0,0,337,670,.503,.503,117,153,.765,266,427,693,216,56,78,132,332,791
1981-82,24,TOT,NBA,C,80,34,1829,265,536,.494,4,13,.308,261,523,.499,.498,184,232,.793,234,383,617,100,39,64,121,296,718
1982-83,25,DET,NBA,C,82,82,2871,436,877,.497,2,13,.154,434,864,.502,.498,245,310,.790,282,711,993,263,51,118,176,320,1119
1983-84,26,DET,NBA,C,82,82,2864,553,1044,.530,0,11,.000,553,1033,.535,.530,316,365,.866,329,674,1003,149,49,84,151,273,1422
1984-85,27,DET,NBA,C,82,82,2892,595,1177,.506,4,18,.222,591,1159,.510,.507,244,306,.797,295,718,1013,154,69,71,129,308,1438
1985-86,28,DET,NBA,C,82,82,2891,545,1107,.492,4,14,.286,541,1093,.495,.494,266,319,.834,305,770,1075,146,59,65,133,291,1360
1986-87,29,DET,NBA,C,82,82,2854,506,1010,.501,6,21,.286,500,989,.506,.504,245,274,.894,243,712,955,151,72,69,120,283,1263
1987-88,30,DET,NBA,C,82,82,2897,455,923,.493,13,39,.333,442,884,.500,.500,187,214,.874,165,667,832,199,66,78,136,284,1110
1988-89,31,DET,NBA,C,81,81,2640,449,900,.499,30,86,.349,419,814,.515,.516,178,212,.840,138,638,776,177,51,100,129,259,1106
1989-90,32,DET,NBA,C,81,81,2675,380,785,.484,57,158,.361,323,627,.515,.520,164,192,.854,166,614,780,171,57,84,98,278,981
1990-91,33,DET,NBA,C,82,81,2668,372,778,.478,37,125,.296,335,653,.513,.502,123,147,.837,173,564,737,157,38,56,98,242,904
1991-92,34,DET,NBA,C,81,46,2234,342,727,.470,32,85,.376,310,642,.483,.492,67,75,.893,104,347,451,160,51,54,102,225,783
1992-93,35,DET,NBA,C,79,41,1933,292,574,.509,10,27,.370,282,547,.516,.517,93,104,.894,110,309,419,127,46,40,59,212,687
