Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,20,CHI,NBA,SF,72,63,2238,309,759,.407,60,191,.314,249,568,.438,.447,188,279,.674,62,246,308,202,119,39,166,159,866
2000-01,21,CHI,NBA,SF,76,74,2363,327,815,.401,43,148,.291,284,667,.426,.428,210,280,.750,59,235,294,228,152,45,159,254,907
2001-02,22,TOT,NBA,SF,55,50,1642,269,636,.423,53,170,.312,216,466,.464,.465,136,204,.667,73,198,271,127,141,39,118,217,727
2002-03,23,IND,NBA,SF,69,67,2317,362,846,.428,71,211,.336,291,635,.458,.470,273,371,.736,101,261,362,198,159,50,145,242,1068
2003-04,24,IND,NBA,SF,73,71,2714,468,1112,.421,75,242,.310,393,870,.452,.455,322,439,.733,100,285,385,272,152,50,202,194,1333
2005-06,26,TOT,NBA,SF,56,56,2207,350,867,.404,78,253,.308,272,614,.443,.449,206,305,.675,75,211,286,203,122,41,131,164,984
2006-07,27,SAC,NBA,SF,70,65,2641,458,1040,.440,93,260,.358,365,780,.468,.485,307,415,.740,102,352,454,235,149,43,146,205,1316
2007-08,28,SAC,NBA,SF,57,54,2172,436,962,.453,84,221,.380,352,741,.475,.497,212,295,.719,101,227,328,199,133,38,148,159,1168
2008-09,29,HOU,NBA,SF,69,55,2452,416,1037,.401,153,383,.399,263,654,.402,.475,196,262,.748,65,294,359,229,105,24,140,155,1181
2009-10,30,LAL,NBA,SF,77,77,2605,306,740,.414,105,296,.355,201,444,.453,.484,128,186,.688,99,232,331,234,106,21,121,165,845
2010-11,31,LAL,NBA,SF,82,82,2410,261,658,.397,83,233,.356,178,425,.419,.460,92,136,.676,100,167,267,175,124,36,90,181,697
2012-13,33,LAL,NBA,SF,75,66,2530,332,824,.403,141,412,.342,191,412,.464,.488,124,169,.734,101,271,372,112,122,42,98,198,929
