Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993-94,22,LAL,NBA,PG,81,80,2700,413,1049,.394,123,364,.338,290,685,.423,.452,150,192,.781,47,191,238,466,85,8,145,154,1099
1994-95,23,LAL,NBA,PG,80,80,2944,465,1107,.420,183,511,.358,282,596,.473,.503,235,300,.783,27,196,223,660,97,6,220,157,1348
1995-96,24,LAL,NBA,PG,74,74,2513,396,950,.417,144,403,.357,252,547,.461,.493,163,204,.799,29,152,181,509,70,10,156,115,1099
1996-97,25,LAL,NBA,PG,79,79,2937,432,1075,.402,177,468,.378,255,607,.420,.484,165,200,.825,44,182,226,672,75,10,212,110,1206
1997-98,26,LAL,NBA,PG,64,46,2053,311,743,.419,123,316,.389,188,427,.440,.501,136,172,.791,31,163,194,442,64,6,104,120,881
1999-00,28,DEN,NBA,PG,79,79,2950,473,1213,.390,133,401,.332,340,812,.419,.445,196,240,.817,34,277,311,714,68,11,221,148,1275
2000-01,29,DEN,NBA,PG,71,70,2688,460,1112,.414,135,358,.377,325,754,.431,.474,204,249,.819,44,197,241,600,61,18,165,109,1259
2001-02,30,TOT,NBA,PG-SG,72,46,2496,501,1226,.409,119,350,.340,382,876,.436,.457,201,251,.801,28,226,254,478,44,11,156,104,1322
2002-03,31,DAL,NBA,SG,73,1,2026,342,831,.412,118,312,.378,224,519,.432,.483,110,144,.764,35,173,208,312,42,4,123,86,912
2004-05,33,POR,NBA,SG,53,34,1619,214,561,.381,100,257,.389,114,304,.375,.471,58,74,.784,20,141,161,227,44,0,92,70,586
2005-06,34,SAS,NBA,PG,65,2,986,136,343,.397,55,154,.357,81,189,.429,.477,28,41,.683,6,85,91,123,16,3,57,60,355
